G,Date,Location,Opp,W/L,Tm Score,Opp Score,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF, ,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Tm
18,2024-01-20,@,Auburn,L,59,82,21,57,0.368,4,17,0.235,13,18,0.722,14,28,11,10,3,14,13,,32,55,0.582,8,18,0.444,10,11,0.909,7,23,19,9,5,15,17,Ole Miss
19,2024-01-24,,Arkansas,W,77,51,31,66,0.47,7,19,0.368,8,10,0.8,12,38,17,8,6,8,17,,17,51,0.333,5,22,0.227,12,18,0.667,8,23,13,3,8,12,13,Ole Miss
20,2024-01-27,@,Texas A&M,W,71,68,25,60,0.417,10,24,0.417,11,15,0.733,10,29,15,6,5,11,19,,25,63,0.397,6,20,0.3,12,22,0.545,17,40,10,7,1,9,17,Ole Miss
21,2024-01-30,,Mississippi State,W,86,82,32,63,0.508,12,30,0.4,10,13,0.769,8,24,22,12,2,7,18,,30,56,0.536,8,18,0.444,14,20,0.7,12,33,19,4,0,15,15,Ole Miss
22,2024-02-03,,Auburn,L,77,91,28,62,0.452,8,19,0.421,13,17,0.765,5,21,20,5,6,8,14,,35,64,0.547,12,27,0.444,9,13,0.692,10,36,25,4,6,11,16,Ole Miss
23,2024-02-06,@,South Carolina,L,65,68,28,55,0.509,4,10,0.4,5,7,0.714,6,26,13,4,5,8,12,,28,60,0.467,9,27,0.333,3,7,0.429,7,28,16,3,3,8,10,Ole Miss
24,2024-02-13,@,Kentucky,L,63,75,24,65,0.369,5,23,0.217,10,18,0.556,10,31,14,11,6,11,15,,28,54,0.519,6,18,0.333,13,17,0.765,3,32,17,8,12,15,18,Ole Miss
25,2024-02-17,,Missouri,W,79,76,23,53,0.434,11,21,0.524,22,30,0.733,12,32,16,6,4,11,22,,23,49,0.469,5,11,0.455,25,30,0.833,8,24,10,7,3,8,20,Ole Miss
26,2024-02-21,@,Mississippi State,L,71,83,23,57,0.404,6,19,0.316,19,21,0.905,13,31,12,6,2,15,24,,27,54,0.5,6,14,0.429,23,39,0.59,13,29,14,10,0,10,17,Ole Miss
27,2024-02-24,,South Carolina,L,59,72,18,54,0.333,3,16,0.188,20,32,0.625,9,29,10,6,11,9,16,,26,59,0.441,8,17,0.471,12,18,0.667,11,37,17,5,1,10,21,Ole Miss
28,2024-02-28,,Alabama,L,88,103,28,54,0.519,8,22,0.364,24,31,0.774,6,28,16,3,4,14,18,,35,70,0.5,15,37,0.405,18,22,0.818,9,30,25,8,2,7,21,Ole Miss
29,2024-03-02,@,Missouri,W,84,78,23,46,0.5,10,26,0.385,28,42,0.667,11,31,13,6,6,15,23,,27,50,0.54,6,19,0.316,18,27,0.667,8,20,14,9,2,14,29,Ole Miss
30,2024-03-05,@,Georgia,L,66,69,25,64,0.391,6,22,0.273,10,12,0.833,9,27,12,8,2,8,15,,25,57,0.439,4,21,0.19,15,17,0.882,10,35,13,4,3,10,9,Ole Miss
31,2024-03-09,,Texas A&M,L,60,86,22,56,0.393,8,28,0.286,8,16,0.5,5,17,13,8,3,9,11,,32,64,0.5,13,26,0.5,9,15,0.6,16,44,19,8,2,11,13,Ole Miss
32,2024-03-14,N,Texas A&M,L,71,80,25,60,0.417,9,31,0.29,12,21,0.571,8,31,16,4,7,11,27,,24,65,0.369,5,21,0.238,27,37,0.73,16,43,10,5,3,9,22,Ole Miss
1,2023-11-08,N,Arizona State,W,71,56,22,55,0.4,10,26,0.385,17,22,0.773,10,42,11,7,3,14,18,,17,53,0.321,5,21,0.238,17,26,0.654,6,27,11,7,1,10,19,Mississippi State
