Game Date,Location,Neutral Game,Conference Game,Postseason Game,NCAA Tourney Game,Matchup,Home Team,Home Rk,Home Score,Away Team,Away Rk,Away Score,Home W,Home Pt Diff
2021-02-27,@ Alabama A&M,0,1,0,0,Prairie View A&M vs. Alabama A&M,Alabama A&M,294.0,54,Prairie View A&M,260.0,55,0,-1
2021-03-01,@ Alabama A&M,0,1,0,0,Texas Southern vs. Alabama A&M,Alabama A&M,305.0,58,Texas Southern,335.0,68,0,-10
2021-03-04,@ Jackson State,0,1,0,0,Alabama A&M vs. Jackson State,Jackson State,340.0,50,Alabama A&M,304.0,35,1,15
2021-03-06,@ Grambling State,0,1,0,0,Alabama A&M vs. Grambling State,Grambling State,272.0,80,Alabama A&M,314.0,72,1,8
2021-01-02,@ Alabama State,0,1,0,0,Grambling State vs. Alabama State,Alabama State,272.0,49,Grambling State,332.0,66,0,-17
2021-01-04,@ Alabama State,0,1,0,0,Jackson State vs. Alabama State,Alabama State,272.0,44,Jackson State,337.0,60,0,-16
2021-01-09,@ Arkansas-Pine Bluff,0,1,0,0,Alabama State vs. Arkansas-Pine Bluff,Arkansas-Pine Bluff,306.0,91,Alabama State,342.0,82,1,9
2021-01-12,@ Mississippi Valley State,0,1,0,0,Alabama State vs. Mississippi Valley State,Mississippi Valley State,341.0,51,Alabama State,342.0,64,0,-13
2021-01-23,@ Alabama State,0,1,0,0,Alcorn State vs. Alabama State,Alabama State,345.0,52,Alcorn State,275.0,57,0,-5
2021-01-25,@ Alabama State,0,1,0,0,Southern vs. Alabama State,Alabama State,345.0,66,Southern,278.0,64,1,2
2021-01-30,@ Texas Southern,0,1,0,0,Alabama State vs. Texas Southern,Texas Southern,311.0,80,Alabama State,344.0,73,1,7
2021-02-01,@ Prairie View A&M,0,1,0,0,Alabama State vs. Prairie View A&M,Prairie View A&M,186.0,87,Alabama State,342.0,63,1,24
2021-02-06,@ Alabama State,0,1,0,0,Arkansas-Pine Bluff vs. Alabama State,Alabama State,342.0,73,Arkansas-Pine Bluff,343.0,67,1,6
2021-02-08,@ Alabama State,0,1,0,0,Mississippi Valley State vs. Alabama State,Alabama State,343.0,65,Mississippi Valley State,344.0,68,0,-3
2021-02-22,@ Southern,0,1,0,0,Alabama State vs. Southern,Southern,292.0,75,Alabama State,344.0,66,1,9
2021-02-24,@ Alcorn State,0,1,0,0,Alabama State vs. Alcorn State,Alcorn State,336.0,68,Alabama State,344.0,59,1,9
2021-02-27,@ Alabama State,0,1,0,0,Texas Southern vs. Alabama State,Alabama State,344.0,76,Texas Southern,341.0,86,0,-10
