G,Date,Location,Opp,W/L,Tm Score,Opp Score,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF, ,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Tm
31,2023-03-04,,VCU,L,68,74,25,56,0.446,5,15,0.333,13,16,0.813,8,28,11,4,3,12,19,,24,52,0.462,7,15,0.467,19,27,0.704,8,31,13,7,5,10,18,George Washington
32,2023-03-08,N,St. Joseph's,L,76,87,26,66,0.394,5,27,0.185,19,21,0.905,14,36,14,3,2,8,18,,28,63,0.444,8,26,0.308,23,28,0.821,12,31,13,8,4,6,16,George Washington
1,2022-11-07,@,Villanova,L,68,81,22,55,0.4,10,25,0.4,14,20,0.7,9,27,11,6,0,8,15,,29,52,0.558,13,20,0.65,10,11,0.909,5,30,13,4,4,9,18,La Salle
2,2022-11-12,,Wagner,W,77,69,21,46,0.457,5,15,0.333,30,40,0.75,4,30,14,6,4,15,23,,24,65,0.369,8,26,0.308,13,23,0.565,12,33,16,6,2,13,31,La Salle
3,2022-11-15,,Queens (NC),W,72,60,28,68,0.412,7,23,0.304,9,13,0.692,8,24,14,9,2,8,16,,20,49,0.408,5,20,0.25,15,18,0.833,12,39,10,4,7,24,20,La Salle
4,2022-11-18,N,Wake Forest,L,63,75,21,53,0.396,11,26,0.423,10,16,0.625,6,33,13,2,4,16,16,,29,65,0.446,8,27,0.296,9,10,0.9,7,33,12,8,4,10,16,La Salle
5,2022-11-20,N,Georgetown,L,62,69,25,65,0.385,5,25,0.2,7,16,0.438,12,37,7,9,2,13,20,,25,59,0.424,3,12,0.25,16,20,0.8,8,42,9,6,6,12,18,La Salle
6,2022-11-26,,Binghamton,W,65,62,23,60,0.383,8,26,0.308,11,18,0.611,7,25,12,11,4,10,20,,21,47,0.447,4,15,0.267,16,24,0.667,4,32,11,5,3,20,19,La Salle
7,2022-11-30,,Temple,L,51,67,22,69,0.319,4,19,0.211,3,6,0.5,12,35,11,10,3,11,19,,24,52,0.462,7,19,0.368,12,18,0.667,6,38,11,2,5,12,13,La Salle
8,2022-12-03,@,Penn,W (1 OT),84,81,32,68,0.471,10,27,0.37,10,17,0.588,12,37,12,6,1,9,19,,27,61,0.443,10,29,0.345,17,21,0.81,6,29,12,4,1,10,16,La Salle
9,2022-12-06,,Bucknell,W,82,72,33,66,0.5,10,26,0.385,6,6,1.0,9,30,22,8,6,14,9,,28,59,0.475,7,14,0.5,9,14,0.643,6,27,16,9,3,11,13,La Salle
